dataset,exp,pred,err,kind,smarts_agreed,n_atoms
novartis,8.55,7.205185185185183,1.3448148148148178,base,True,15
novartis,5.5,5.485299999999999,0.014700000000001268,base,True,36
novartis,4.5,5.193333333333333,0.6933333333333334,base,True,36
novartis,5.5,6.099545454545455,0.5995454545454546,base,True,36
novartis,5.0,5.080755203124999,0.0807552031249994,base,True,35
novartis,10.2,8.997833333333334,1.202166666666665,base,True,23
novartis,10.3,8.997833333333334,1.3021666666666665,base,True,23
novartis,10.3,8.81214431707317,1.4878556829268312,base,True,19
novartis,8.7,7.21147435897436,1.488525641025639,base,True,14
novartis,3.8,5.360909090909091,1.5609090909090915,base,True,33
novartis,4.8,4.550106518796992,0.24989348120300825,base,True,31
novartis,2.9,4.082,1.182,base,False,27
novartis,8.2,8.526116835051546,0.32611683505154687,base,True,33
novartis,2.4,3.597857142857143,1.197857142857143,base,True,22
novartis,4.31,5.485299999999999,1.1752999999999991,base,True,26
novartis,3.6,4.927150537634409,1.327150537634409,base,False,38
novartis,3.3,4.550106518796992,1.2501065187969918,base,False,36
novartis,5.9,7.674170544186049,1.774170544186049,base,True,30
novartis,3.9,4.927150537634409,1.0271505376344092,base,False,32
novartis,9.7,6.982083333333333,2.7179166666666665,acid,False,29
novartis,2.92,3.815,0.895,acid,True,26
novartis,5.2,6.982083333333333,1.7820833333333326,acid,,22
novartis,4.1,4.7196000000000025,0.6196000000000028,acid,True,21
novartis,4.3,5.096923076923077,0.7969230769230773,acid,True,18
novartis,9.2,9.375205882352939,0.1752058823529392,base,True,29
novartis,9.3,8.330999999999998,0.969000000000003,acid,False,28
novartis,2.1,4.7196000000000025,2.6196000000000024,acid,True,27
novartis,9.7,9.666978059523808,0.03302194047619089,base,True,17
novartis,6.865,6.240740740740741,0.6242592592592588,acid,True,30
novartis,8.2,8.798214285714284,0.5982142857142847,base,True,37
novartis,7.24,7.2377314814814815,0.002268518518518725,base,False,18
novartis,3.37,4.518980263157895,1.1489802631578945,acid,True,35
novartis,3.385,4.004838709677419,0.6198387096774196,acid,True,31
novartis,6.3,5.360909090909091,0.9390909090909085,base,True,23
novartis,10.5,10.3896875,0.11031249999999915,base,True,23
novartis,8.7,7.674170544186049,1.02582945581395,base,True,34
novartis,9.005,8.160394230769231,0.8446057692307694,base,True,32
novartis,8.66,8.485202,0.1747980000000009,base,True,28
novartis,4.5,4.313276189473684,0.18672381052631604,acid,True,30
novartis,6.9,7.5315957446808515,0.6315957446808511,acid,True,30
novartis,10.2,8.551911764705881,1.648088235294118,acid,True,16
novartis,4.26,4.7196000000000025,0.4596000000000027,acid,True,27
novartis,3.4,4.927150537634409,1.5271505376344092,base,True,23
novartis,7.6,6.240740740740741,1.3592592592592583,acid,True,18
novartis,5.3,5.946818181818181,0.6468181818181815,base,False,25
novartis,3.69,5.485299999999999,1.7952999999999988,base,True,29
novartis,8.52,8.559516129032257,0.03951612903225765,base,True,22
novartis,3.37,3.7640000000000002,0.39400000000000013,acid,True,28
novartis,4.2,4.550106518796992,0.3501065187969914,base,False,15
novartis,5.8,4.927150537634409,0.8728494623655907,base,True,16
novartis,3.0,5.629687499999999,2.6296874999999993,acid,True,37
novartis,5.4,4.927150537634409,0.4728494623655912,base,False,26
novartis,8.5,8.038565827586206,0.46143417241379403,base,True,31
novartis,10.6,9.056964285714285,1.5430357142857147,acid,True,37
novartis,3.7,5.946818181818181,2.246818181818181,base,True,29
novartis,8.356,8.443823529411764,0.08782352941176441,acid,True,16
novartis,7.9,6.240740740740741,1.659259259259259,acid,False,34
novartis,9.2,8.74,0.4599999999999991,acid,True,27
novartis,10.6,10.882916666666668,0.2829166666666687,acid,True,20
novartis,4.8,4.550106518796992,0.24989348120300825,base,True,16
novartis,6.8,5.946818181818181,0.8531818181818185,base,True,21
novartis,5.8,6.229175137777838,0.4291751377778379,acid,,16
novartis,3.9,4.550106518796992,0.6501065187969917,base,False,33
novartis,4.3,5.360909090909091,1.0609090909090915,base,False,27
novartis,8.3,6.240740740740741,2.0592592592592593,acid,True,26
novartis,8.4,6.788888888888888,1.6111111111111125,acid,True,19
