dataset,smiles,exp,pred,err,site_correct,n_atoms
novartis,Brc1ccc(C2CN3C=CSC3=[NH+]2)cc1,8.55,7.573578231292517,0.9764217687074837,True,15
novartis,C/C(=C\c1cc(C)ccn1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1,5.5,5.487261902597403,0.012738097402596793,True,36
novartis,C/C(=C\c1ccc(C)cn1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1,4.5,5.19,0.6900000000000004,True,36
novartis,C/C(=C\c1cccc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1,5.5,6.322536764705881,0.8225367647058812,True,36
novartis,C/C(=C\c1ccccn1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1,5.0,5.064999999999999,0.06499999999999861,True,35
novartis,C1=C(c2ccc3ccccc3c2)N2CC[NH+]=C2c2ccccc21,10.2,10.210909090909091,0.010909090909091645,True,23
novartis,C1=C(c2cccc3ccccc23)N2CC[NH+]=C2c2ccccc21,10.3,10.430266660000003,0.13026666000000198,True,23
novartis,C1=C(c2ccccc2)N2CC[NH+]=C2c2ccccc21,10.3,10.430266660000003,0.13026666000000198,True,19
novartis,C1=CN2CC(c3ccccc3)[NH+]=C2S1,8.7,7.763888885416667,0.9361111145833325,True,14
novartis,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,3.8,5.239545454545454,1.4395454545454545,True,33
novartis,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OCCOC)cc3)ncc2F)c1,4.8,4.335054347826087,0.46494565217391326,True,31
novartis,C=CCNc1ccc2c(c1)c(-c1ccc(C(C)C)cc1)nc(=O)n2C(C)C,2.9,5.487261902597403,2.5872619025974033,False,27
novartis,CC#CCn1c(N2CC[NH2+]CC2)c(C#N)c2ncn(CC(=O)c3cccc(OC)c3)c(=O)c21,8.2,8.206839080459769,0.006839080459769775,True,33
novartis,CC(=C(C#N)C#N)c1ccc2cc(N(C)CCF)ccc2c1,2.4,4.032027358208956,1.6320273582089562,True,22
novartis,CC(=O)N1CCC(CNc2nc3c(s2)CCCc2ccc(F)cc2-3)CC1,4.31,5.473248949367089,1.1632489493670892,True,26
novartis,CC(=O)N1CCN(c2ccc(OCc3cc4cnc(C#N)nc4n3CCC3CCC(F)(F)CC3)cc2)CC1,3.6,4.141193181818182,0.5411931818181821,False,38
novartis,CC(=O)N1CCN(c2ccc(OCc3cc4cnc(C#N)nc4n3CCC3CCCCC3)cc2)CC1,3.3,4.229373974137932,0.9293739741379321,False,36
novartis,CC(=O)Nc1cc(Cl)ccc1/C=C/C(=O)N1CC[NH+](Cc2ccc(F)cc2)C[C@H]1C,5.9,7.309510489510489,1.409510489510489,True,30
novartis,CC(=O)Nc1ccc(Nc2ncnc3c2c(-c2ccccc2)cn3-c2ccccc2)cc1,3.9,4.912559525510205,1.0125595255102051,False,32
novartis,CC(=O)Nc1cccc(Nc2nc(Nc3ccccc3)n3ncc(C#N)c3n2)c1,9.7,3.652717084033613,6.047282915966386,False,29
novartis,CC(=O)Nc1cccc2c1c(Sc1ccc(Cl)cc1)c(C)n2CC(=O)[O-],2.92,3.5155797142857144,0.5955797142857144,True,26
novartis,CC(C(=O)[O-])c1ccc2c(c1)C(=O)c1ccccc1CS2,4.1,4.335054347826087,0.23505434782608692,True,21
novartis,CC(C(=O)[O-])c1ccc2c(c1)Cc1ccccc1-2,4.3,4.912559525510205,0.6125595255102052,True,18
novartis,CC(C)(C)Cn1c(CN2C(=O)CC3(CC[NH2+]CC3)C2=O)cc2cnc(C#N)nc21,9.2,8.893923606060604,0.3060763939393958,True,29
novartis,CC(C)(C)Cn1c(Cc2ccc(NS(N)(=O)=O)cc2)cc2cnc(C#N)nc21,9.3,7.73361111111111,1.5663888888888904,False,28
novartis,CC(C)(C)OC(=O)N1CCC(C(=O)NS(=O)(=O)c2c(Cl)sc(Cl)c2Br)CC1,2.1,4.912559525510205,2.812559525510205,True,27
novartis,CC(C)(C)[NH2+]C[C@H](O)c1cc(Cl)c(N)c(Cl)c1,9.7,9.803502373134329,0.10350237313432942,True,17
novartis,CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2cc[n+]([O-])cc2)cc1,6.865,5.0794,1.7856000000000005,True,30
novartis,CC(C)COC(=O)Nc1ccc(-c2cnc3c(-c4ccc(N5CC[NH+](C)CC5)cc4)cnn3c2N)cc1,8.2,8.565273105042015,0.36527310504201616,True,37
novartis,CC(C)Cn1cnc2c(N)nc3ccccc3c21,7.24,5.851506235294117,1.388493764705883,False,18
novartis,CC(C)N(CCCCOCC(=O)NS(C)(=O)=O)c1cnc(-c2ccccc2)c(-c2ccccc2)n1,3.37,4.912559525510205,1.542559525510205,True,35
novartis,CC(C)N(CCCCOCC(=O)[O-])c1cnc(-c2ccccc2)c(-c2ccccc2)n1,3.385,4.032027358208956,0.6470273582089563,True,31
novartis,CC(C)Nc1nc(Nc2ccc(C(N)=O)cc2)c2sccc2n1,6.3,5.487261902597403,0.8127380974025966,True,23
novartis,CC(C)Oc1ccc(Cc2ccc(NC3=[NH+]CCN3)cc2)cc1,10.5,9.288163583333333,1.2118364166666673,True,23
novartis,CC(C)[NH+](CCc1c(-c2ccccc2)nn2ccccc12)Cc1ccc(CCC(=O)N=O)cc1,8.7,7.763888885416667,0.9361111145833325,True,34
novartis,CC(C)[NH+](CCc1c(C(C)(C)O)[nH]c2ccccc12)Cc1ccc(CCC(=O)N=O)cc1,9.005,7.8622342033898285,1.1427657966101723,True,32
novartis,CC(C)[NH+](CCc1c[nH]c2ccccc12)Cc1ccc(CCC(=O)N=O)cc1,8.66,8.565273105042015,0.0947268949579847,True,28
novartis,CC(C)n1c(/C=C/[C@H](O)C[C@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c2ccccc21,4.5,4.032027358208956,0.4679726417910439,True,30
novartis,CC(NC(=O)c1ccccc1/N=C/c1c(O)ccc2ccccc12)c1ccccc1,6.9,8.186277261682244,1.286277261682244,True,30
novartis,CC(c1cc2ccccc2s1)N(O)C(N)=O,10.2,9.14393806081081,1.0560619391891901,True,16
novartis,CC/C(=C(\c1ccccc1)c1ccc(/C=C/C(=O)[O-])cc1)c1ccccc1,4.26,4.797881355932203,0.5378813559322033,True,27
novartis,CC1CCCN(C(=O)c2ccc(Nc3ccc(Cl)cc3)nc2)C1,3.4,5.487261902597403,2.0872619025974033,True,23
novartis,CCC1(c2ccccc2)C(=O)NC(=O)N(C)C1=O,7.6,6.731824712643679,0.8681752873563209,True,18
novartis,CCC1CCCCN1C(=O)c1cnc(Nc2ccc(C)nc2)c(Cl)c1,5.3,3.652717084033613,1.6472829159663869,False,25
novartis,CCCCC(=O)N1CCC(CNc2nc3c(s2)CCOc2ccc(F)cc2-3)CC1,3.69,5.473248949367089,1.7832489493670889,True,29
novartis,CCCCCCCCc1ccc(CCC([NH3+])(CO)CO)cc1,8.52,9.288163583333333,0.7681635833333331,True,22
novartis,CCCCC[C@H](O)CC[C@@H]1[C@H]2Cc3cccc(OCC(=O)[O-])c3C[C@H]2C[C@H]1O,3.37,4.40173076923077,1.0317307692307702,True,28
novartis,CCN(CC)c1ncnc2c1cnn2C,4.2,4.046744479674798,0.15325552032520218,False,15
novartis,CCN(Cc1ccccc1)c1ccccc1,5.8,5.0794,0.7206000000000001,True,16
novartis,CCN1c2ccc(C#N)cc2N=C(c2ccc(C(=O)[O-])c(F)c2)c2cc3c(cc21)C(C)(C)CCC3(C)C,3.0,4.335054347826087,1.3350543478260866,True,37
novartis,CCNC(=O)OC1CCN(c2nncc3cc(OC)c(OC)cc23)CC1,5.4,5.239545454545454,0.16045454545454607,False,26
novartis,CCOC(=O)N1CCC(C)(C[NH+]2CCC3(CC2)CN(S(C)(=O)=O)c2ncccc23)CC1,8.5,7.573578231292517,0.9264217687074829,True,31
novartis,CCOC(=O)c1c(C)cc2nc(COC(=O)NCCO)n(-c3ccccc3S(=O)(=O)NC)c(=O)c2c1C,10.6,8.565273105042015,2.034726894957984,True,37
novartis,CCOCC(=O)N1CCC(CNc2nc3c(s2)CCOc2ccc(F)cc2-3)CC1,3.7,5.084102801665318,1.3841028016653176,True,29
novartis,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,8.356,8.498472216666666,0.14247221666666654,True,16
novartis,CCS(=O)(=O)c1ccc(CC(=O)Nc2nc(-c3ccccc3)c(C(=O)c3ccccc3)s2)cc1,7.9,3.5155797142857144,4.384420285714286,False,34
novartis,CC[C@H](C(=O)NO)[C@H](C(=O)N1CCCC[C@H]1C(=O)NC)c1ccc(Cl)cc1,9.2,8.893923606060604,0.3060763939393958,True,27
novartis,CCc1cc(Br)ccc1S(=O)(=O)NCc1ccccc1,10.6,10.63875,0.038750000000000284,True,20
novartis,CCc1ccc(-c2cn3c([nH+]2)SCC3)cc1,4.8,4.912559525510205,0.1125595255102052,True,16
novartis,CCc1ccc(-c2cnc(C)nc2NC2CCCC2)cc1,6.8,6.063095238095238,0.7369047619047615,True,21
novartis,CCc1ccccc1N(CC)C(=O)C1CCN(c2ncnc3c2nc2n3CCCCC2)CC1,3.9,6.063095238095238,2.1630952380952384,False,33
novartis,CCc1ncnc(NC(CC)c2ccc(Oc3ccc(F)cc3)cc2)c1Br,4.3,4.046744479674798,0.2532555203252018,False,27
novartis,CN(CCO)c1cc2c(=O)n(NS(C)(=O)=O)c(=O)[nH]c2cc1C(F)(F)F,8.3,6.909714285714286,1.3902857142857146,True,26
novartis,CN(n1c(=O)[nH]c2cc(Cl)ccc2c1=O)S(C)(=O)=O,8.4,7.573578231292517,0.8264217687074833,True,19
novartis,CN1C(=O)Cn2cc(C(=O)NCc3ccc(Cl)cc3)c(=O)c3cc(C[NH+]4CCOCC4)cc1c32,6.2,6.063095238095238,0.13690476190476186,True,34
novartis,CN1C(=O)N(C[C@H](C(=O)NO)[C@@H](CC2CCCC2)C(=O)N2CCCCC2)C(=O)C1(C)C,9.01,9.624340659340662,0.6143406593406624,True,31
novartis,CN1c2ccc(C#N)cc2N=C(c2ccc(C(=O)[O-])c(F)c2)c2cc3c(cc21)C(C)(C)CCC3(C)C,3.4,4.046744479674798,0.6467444796747981,True,36
novartis,CN1c2ccc(C#N)cc2N=C(c2ccc(C(=O)[O-])cc2)c2cc3c(cc21)C(C)(C)CCC3(C)C,3.5,4.718888883333334,1.2188888833333342,True,35
novartis,CNC(=O)c1c(NCC2CCC3(CCC3)CC2)nc(C#N)nc1OC1CC(C)(C)[NH2+]C(C)(C)C1,9.2,9.14393806081081,0.05606193918919011,True,34
novartis,CNC(=O)c1c(NCC2CCC3(CCC3)CC2)nc(C#N)nc1OCC1CC[NH+](C)CC1,10.7,9.242594139534889,1.4574058604651103,True,32
novartis,CNC(=O)c1c(NCC2CCC3(CCC3)CC2)nc(C#N)nc1OCCC1CC[NH+](C)CC1,10.2,9.29679803448276,0.9032019655172387,True,33
novartis,CNC(=O)c1ccc(Oc2ccc3c(c2)CC[NH+](C2CCC2)CC3)nc1,8.6,8.756666666666666,0.1566666666666663,True,26
novartis,CNC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCOCC3)cc2OC)ncc1Cl,4.266667,4.229373974137932,0.03729302586206806,True,33
novartis,CNC(=O)c1nc(-c2ccc(Cl)c(S(=O)(=O)Nc3cccc(F)c3C)c2)cnc1N,7.6,6.731824712643679,0.8681752873563209,True,30
novartis,CNc1nc2ccccc2n(C)c1=O,4.25,5.851506235294117,1.6015062352941172,True,14
novartis,COC(=O)/C=C/C(=O)[O-],2.9,3.5155797142857144,0.6155797142857145,True,9
novartis,COC(=O)Cn1c(C[NH+]2CCC(Cc3ccccc3)CC2)nc2c1c(=O)n(C)c(=O)n2C,6.0,6.9696753246753245,0.9696753246753245,True,32
novartis,COC(=O)c1ccc2[nH]cc(CN3CCCC4(CCN(c5nc(C)cc(C)n5)CC4)C3=O)c2c1,4.8,6.538719138888889,1.7387191388888894,False,34
novartis,COCc1nc2ccccc2n1Cc1ccc(C(C)(C)C)cc1,4.2,5.473248949367089,1.2732489493670887,True,23
novartis,COc1cc(C(C)=O)ccc1OCCC[NH+]1CCC(c2noc3cc(F)ccc23)CC1,8.2,8.186277261682244,0.013722738317754946,True,31
novartis,COc1cc(C(C)O)ccc1OCCC[NH+]1CCC(c2noc3cc(F)ccc23)CC1,8.25,8.206839080459769,0.043160919540230935,True,31
novartis,COc1cc(CN(CC(=O)NCc2ccccc2Cl)S(=O)(=O)c2ccc(CN3CC[NH+](C)CC3)cc2)ccc1OCC(C)C,7.17,7.843760692307693,0.6737606923076926,False,44
novartis,COc1cc(Nc2ccccc2C(=O)[O-])cc(OC)c1,4.0,3.9314285714285715,0.0685714285714285,True,20
novartis,COc1cc2c(cc1OC)CN(c1cc(N)c3cc(OC)c(OC)cc3[nH+]1)CC2,8.9,8.206839080459769,0.6931609195402313,True,29
