dataset,exp,pred,err,kind,smarts_agreed,n_atoms
novartis,8.55,7.0716083916083905,1.4783916083916102,base,True,15
novartis,5.5,5.97551724137931,0.4755172413793103,base,True,36
novartis,4.5,5.613687758722792,1.1136877587227918,base,True,36
novartis,5.5,5.7216000000000005,0.22160000000000046,base,True,36
novartis,5.0,5.606057692307692,0.6060576923076919,base,True,35
novartis,10.2,8.552306999999997,1.647693000000002,base,True,23
novartis,10.3,8.498004561643835,1.8019954383561654,base,True,23
novartis,10.3,8.498004561643835,1.8019954383561654,base,True,19
novartis,8.7,6.867058823529412,1.8329411764705874,base,True,14
novartis,3.8,5.054901941176472,1.2549019411764721,base,True,33
novartis,4.8,4.6649928189655165,0.13500718103448328,base,True,31
novartis,2.9,3.7957894736842106,0.8957894736842107,base,False,27
novartis,8.2,8.189314096153847,0.0106859038461522,base,True,33
novartis,2.4,3.7957894736842106,1.3957894736842107,base,True,22
novartis,4.31,6.330238095238095,2.0202380952380956,base,True,26
novartis,3.6,4.6649928189655165,1.0649928189655165,base,False,38
novartis,3.3,4.98953125,1.68953125,base,False,36
novartis,5.9,7.232099571428573,1.3320995714285724,base,True,30
novartis,3.9,4.6649928189655165,0.7649928189655166,base,False,32
novartis,9.7,7.794139774193548,1.9058602258064514,acid,False,29
novartis,2.92,3.596242427272727,0.6762424272727272,acid,True,26
novartis,5.2,6.685910092105263,1.4859100921052626,acid,,22
novartis,4.1,4.5756150952380965,0.47561509523809686,acid,True,21
novartis,4.3,5.209516129032258,0.9095161290322578,acid,True,18
novartis,9.2,9.293698201754383,0.0936982017543837,base,True,29
novartis,9.3,7.91659090909091,1.3834090909090904,acid,False,28
novartis,2.1,4.3775,2.2775000000000003,acid,True,27
novartis,9.7,9.360671823031586,0.33932817696841333,base,True,17
novartis,6.865,5.742878787878787,1.122121212121213,acid,True,30
novartis,8.2,8.634814814814815,0.4348148148148159,base,True,37
novartis,7.24,7.532818181818182,0.2928181818181814,base,False,18
novartis,3.37,4.9175,1.5475000000000003,acid,True,35
novartis,3.385,4.0471719523809515,0.6621719523809517,acid,True,31
novartis,6.3,5.054901941176472,1.2450980588235279,base,True,23
novartis,10.5,10.13923076923077,0.36076923076923073,base,True,23
novartis,8.7,7.984307363636363,0.7156926363636362,base,True,34
novartis,9.005,8.498004561643835,0.5069954383561655,base,True,32
novartis,8.66,8.279722222222222,0.3802777777777777,base,True,28
novartis,4.5,4.270246745454545,0.2297532545454546,acid,True,30
novartis,6.9,7.4002,0.5001999999999995,acid,True,30
novartis,10.2,8.491606421686749,1.7083935783132507,acid,True,16
novartis,4.26,4.375243438464122,0.11524343846412233,acid,True,27
novartis,3.4,4.6649928189655165,1.2649928189655166,base,True,23
novartis,7.6,7.91659090909091,0.3165909090909107,acid,True,18
novartis,5.3,5.575933320000001,0.2759333200000009,base,False,25
novartis,3.69,5.900849056603772,2.2108490566037724,base,True,29
novartis,8.52,9.018571428571429,0.4985714285714291,base,True,22
novartis,3.37,4.0471719523809515,0.6771719523809514,acid,True,28
novartis,4.2,4.274166666666666,0.07416666666666583,base,False,15
novartis,5.8,4.6649928189655165,1.1350071810344833,base,True,16
novartis,3.0,4.82902596969697,1.8290259696969704,acid,True,37
novartis,5.4,5.313928571428572,0.08607142857142858,base,False,26
novartis,8.5,7.9278571428571425,0.5721428571428575,base,True,31
novartis,10.6,9.240833342105264,1.3591666578947361,acid,True,37
novartis,3.7,5.900849056603772,2.200849056603772,base,True,29
novartis,8.356,8.072083333333333,0.2839166666666664,acid,True,16
novartis,7.9,5.963478260869565,1.936521739130435,acid,False,34
novartis,9.2,7.91659090909091,1.283409090909089,acid,True,27
novartis,10.6,10.675,0.07500000000000107,acid,True,20
novartis,4.8,4.6649928189655165,0.13500718103448328,base,True,16
novartis,6.8,5.97551724137931,0.8244827586206895,base,True,21
novartis,5.8,6.307893203966557,0.5078932039665576,acid,,16
novartis,3.9,4.6649928189655165,0.7649928189655166,base,False,33
novartis,4.3,5.900849056603772,1.6008490566037725,base,False,27
novartis,8.3,6.67,1.6300000000000008,acid,True,26
novartis,8.4,7.4002,0.9998000000000005,acid,True,19
novartis,6.2,6.330238095238095,0.13023809523809504,base,True,34
novartis,9.01,10.379375,1.3693749999999998,acid,True,31
novartis,3.4,4.622089552238806,1.2220895522388058,acid,True,36
novartis,3.5,4.3775,0.8775000000000004,acid,True,35
novartis,9.2,9.606276807228912,0.40627680722891313,base,True,34
novartis,10.7,9.274166666666666,1.4258333333333333,base,True,32
novartis,10.2,9.293698201754383,0.9063017982456163,base,True,33
novartis,8.6,9.026871225352112,0.4268712253521123,base,True,26
novartis,4.266667,4.98953125,0.7228642499999998,base,True,33
novartis,7.6,6.685910092105263,0.9140899078947369,acid,True,30
novartis,4.25,5.606057692307692,1.356057692307692,base,True,14
novartis,2.9,3.727727272727273,0.8277272727272731,acid,True,9
novartis,6.0,7.0716083916083905,1.0716083916083905,base,True,32
novartis,4.8,6.928888888888888,2.1288888888888886,base,False,34
novartis,4.2,5.650328008936011,1.4503280089360109,base,True,23
novartis,8.2,7.810117290322581,0.3898827096774182,base,True,31
novartis,8.25,8.279722222222222,0.029722222222222427,base,True,31
novartis,7.17,8.498004561643835,1.3280045616438354,base,False,44
novartis,4.0,3.843560590909091,0.15643940909090892,acid,True,20
novartis,8.9,9.026871225352112,0.1268712253521116,base,True,29
novartis,6.07,5.97551724137931,0.09448275862069,base,False,25
novartis,9.1,9.293698201754383,0.19369820175438335,base,True,31
novartis,4.4,4.6649928189655165,0.2649928189655162,base,False,27
novartis,5.2,5.6507812500000005,0.45078125000000036,base,True,29
novartis,5.3,7.0716083916083905,1.7716083916083907,base,True,24
novartis,7.5,7.4002,0.09980000000000011,acid,True,12
novartis,8.1,9.293698201754383,1.1936982017543833,base,True,31
novartis,4.1,5.963478260869565,1.8634782608695657,acid,,19
novartis,10.91,8.491606421686749,2.4183935783132515,acid,True,49
novartis,5.0,6.330238095238095,1.3302380952380952,base,True,22
