dataset,smiles,exp,pred_iso,err_iso,pred_lin,err_lin,n_atoms,rings,site,pka_bin
novartis,Brc1ccc(C2CN3C=CSC3=[NH+]2)cc1,8.55,9.316164603550295,0.766164603550294,9.316164603550295,0.766164603550294,15,3,base-only,7-10
novartis,C/C(=C\c1cc(C)ccn1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1,5.5,5.577957746478874,0.07795774647887388,5.577957746478874,0.07795774647887388,36,3,base-only,4-7
novartis,C/C(=C\c1ccc(C)cn1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1,4.5,5.577957746478874,1.0779577464788739,5.577957746478874,1.0779577464788739,36,3,base-only,4-7
novartis,C/C(=C\c1cccc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1,5.5,6.497916666666666,0.9979166666666659,6.497916666666666,0.9979166666666659,36,3,base-only,4-7
novartis,C/C(=C\c1ccccn1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1,5.0,5.139794319148936,0.13979431914893592,5.139794319148936,0.13979431914893592,35,3,base-only,4-7
novartis,C1=C(c2ccc3ccccc3c2)N2CC[NH+]=C2c2ccccc21,10.2,9.63441516766467,0.565584832335329,9.63441516766467,0.565584832335329,23,5,base-only,>10
novartis,C1=C(c2cccc3ccccc23)N2CC[NH+]=C2c2ccccc21,10.3,9.97819526627219,0.32180473372781115,9.97819526627219,0.32180473372781115,23,5,base-only,>10
novartis,C1=C(c2ccccc2)N2CC[NH+]=C2c2ccccc21,10.3,9.85106896551724,0.4489310344827615,9.85106896551724,0.4489310344827615,19,4,base-only,>10
novartis,C1=CN2CC(c3ccccc3)[NH+]=C2S1,8.7,9.072318980861242,0.3723189808612428,9.072318980861242,0.3723189808612428,14,3,base-only,7-10
novartis,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,3.8,4.90423647008547,1.1042364700854703,4.90423647008547,1.1042364700854703,33,5,base-only,<4
novartis,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OCCOC)cc3)ncc2F)c1,4.8,4.185071428571429,0.614928571428571,4.185071428571429,0.614928571428571,31,3,base-only,4-7
novartis,C=CCNc1ccc2c(c1)c(-c1ccc(C(C)C)cc1)nc(=O)n2C(C)C,2.9,7.218221649484537,4.318221649484537,7.218221649484537,4.318221649484537,27,3,base-only,<4
novartis,CC#CCn1c(N2CC[NH2+]CC2)c(C#N)c2ncn(CC(=O)c3cccc(OC)c3)c(=O)c21,8.2,8.079237179487178,0.12076282051282128,8.079237179487178,0.12076282051282128,33,4,base-only,7-10
novartis,CC(=C(C#N)C#N)c1ccc2cc(N(C)CCF)ccc2c1,2.4,4.590291843283583,2.190291843283583,4.590291843283583,2.190291843283583,22,2,base-only,<4
novartis,CC(=O)N1CCC(CNc2nc3c(s2)CCCc2ccc(F)cc2-3)CC1,4.31,5.468604895104895,1.1586048951048955,5.468604895104895,1.1586048951048955,26,4,base-only,4-7
novartis,CC(=O)N1CCN(c2ccc(OCc3cc4cnc(C#N)nc4n3CCC3CCC(F)(F)CC3)cc2)CC1,3.6,4.590291843283583,0.990291843283583,4.590291843283583,0.990291843283583,38,5,base-only,<4
novartis,CC(=O)N1CCN(c2ccc(OCc3cc4cnc(C#N)nc4n3CCC3CCCCC3)cc2)CC1,3.3,4.90423647008547,1.6042364700854703,4.90423647008547,1.6042364700854703,36,5,base-only,<4
novartis,CC(=O)Nc1cc(Cl)ccc1/C=C/C(=O)N1CC[NH+](Cc2ccc(F)cc2)C[C@H]1C,5.9,7.527735760358271,1.627735760358271,7.527735760358271,1.627735760358271,30,3,base-only,4-7
