dataset,exp,pred,err,site_ok,n_atoms,pka_bin
novartis,8.55,7.376914893617021,1.1730851063829801,True,15,7-10
novartis,5.5,5.87486301369863,0.3748630136986302,True,36,4-7
novartis,4.5,5.558831839285715,1.0588318392857152,True,36,4-7
novartis,5.5,5.87486301369863,0.3748630136986302,True,36,4-7
novartis,5.0,5.558831839285715,0.5588318392857152,True,35,4-7
novartis,10.2,9.671394551020407,0.5286054489795919,True,23,>10
novartis,10.3,9.710502721311476,0.5894972786885244,True,23,>10
novartis,10.3,9.69892857142857,0.60107142857143,True,19,>10
novartis,8.7,7.462394736842105,1.237605263157894,True,14,7-10
novartis,3.8,4.754386552941177,0.9543865529411768,True,33,<4
novartis,4.8,5.27314815079365,0.4731481507936506,True,31,4-7
novartis,2.9,3.579704306451613,0.6797043064516131,False,27,<4
novartis,8.2,8.005801269230771,0.19419873076922833,True,33,7-10
novartis,2.4,3.2314814814814814,0.8314814814814815,True,22,<4
novartis,4.31,5.558831839285715,1.2488318392857156,True,26,4-7
novartis,3.6,4.845,1.2449999999999997,False,38,<4
novartis,3.3,5.27314815079365,1.9731481507936506,False,36,<4
novartis,5.9,7.099245283018868,1.1992452830188673,True,30,4-7
novartis,3.9,4.516122448979592,0.6161224489795925,False,32,<4
novartis,9.7,8.8770833375,0.8229166624999991,False,29,7-10
novartis,2.92,3.770109037383177,0.8501090373831772,True,26,<4
novartis,5.2,7.837740738562091,2.6377407385620906,True,22,4-7
novartis,4.1,4.271121525,0.17112152500000022,True,21,4-7
novartis,4.3,4.754386552941177,0.4543865529411768,True,18,4-7
novartis,9.2,9.639782608695654,0.4397826086956549,True,29,7-10
novartis,9.3,8.528683865079362,0.7713161349206388,False,28,7-10
novartis,2.1,4.4469,2.3469,True,27,<4
novartis,9.7,10.159189480087669,0.45918948008766947,True,17,7-10
novartis,6.865,5.6771264367816086,1.1878735632183917,True,30,4-7
novartis,8.2,8.528683865079362,0.32868386507936265,False,37,7-10
novartis,7.24,8.005801269230771,0.7658012692307707,False,18,7-10
novartis,3.37,5.87486301369863,2.50486301369863,True,35,<4
novartis,3.385,4.076553766129032,0.6915537661290321,True,31,<4
novartis,6.3,5.407460317460317,0.8925396825396827,True,23,4-7
novartis,10.5,10.169705882352941,0.3302941176470586,True,23,>10
novartis,8.7,7.837740738562091,0.8622592614379085,True,34,7-10
novartis,9.005,8.069666666666667,0.9353333333333342,True,32,7-10
novartis,8.66,8.305134403225807,0.35486559677419294,True,28,7-10
novartis,4.5,4.271121525,0.22887847500000014,True,30,4-7
novartis,6.9,8.305134403225807,1.4051344032258068,True,30,4-7
novartis,10.2,9.018649635036494,1.1813503649635049,True,16,>10
novartis,4.26,4.754386552941177,0.49438655294117684,True,27,4-7
novartis,3.4,4.754386552941177,1.3543865529411767,True,23,<4
novartis,7.6,7.099245283018868,0.5007547169811319,True,18,7-10
novartis,5.3,5.558831839285715,0.2588318392857154,False,25,4-7
novartis,3.69,5.558831839285715,1.8688318392857153,True,29,<4
novartis,8.52,9.018649635036494,0.49864963503649484,True,22,7-10
novartis,3.37,3.770109037383177,0.40010903738317705,True,28,<4
novartis,4.2,4.2156896551724135,0.015689655172413275,False,15,4-7
novartis,5.8,4.670780888111889,1.1292191118881112,True,16,4-7
novartis,3.0,4.271121525,1.2711215249999999,True,37,<4
novartis,5.4,4.493200000000001,0.9067999999999996,False,26,4-7
novartis,8.5,8.263999999999998,0.23600000000000243,True,31,7-10
novartis,10.6,9.386875,1.2131249999999998,True,37,>10
novartis,3.7,5.27314815079365,1.5731481507936502,True,29,<4
novartis,8.356,8.541177773333334,0.18517777333333463,True,16,7-10
novartis,7.9,6.320689655172414,1.5793103448275865,False,34,7-10
novartis,9.2,9.018649635036494,0.18135036496350487,True,27,7-10
novartis,10.6,9.710502721311476,0.8894972786885234,True,20,>10
novartis,4.8,4.754386552941177,0.0456134470588232,True,16,4-7
novartis,6.8,5.6771264367816086,1.1228735632183913,True,21,4-7
novartis,5.8,6.507357142857143,0.707357142857143,False,16,4-7
novartis,3.9,4.754386552941177,0.8543865529411767,False,33,<4
novartis,4.3,4.845,0.5449999999999999,False,27,4-7
